machine_guid	c
b7849ab74f90a2d87083831b9efb39b2	533
1e765324aaafb4910fd5ab7bee66efee	511
66a5e4e9c1e737b339619bbc59e97efc	501
59a936bb792a4cd399b6a8baa4f371ea	501
45c122e62a55a86a97375c01c77deb54	492
63610a431b040757b700a402b7c6f18d	468
7063a44066134cb38c707dba785b93b1	400
691276745bcb94964effb2119a9f57e4	399
a77eba66ac46bdd5c53cc3f9255866e7	390
81099a437abdef9ddf976ed77e842b33	373
88485a8269ec7cce6e8393720f9fdb86	370
c742891084c9e07206ec6c99b7791b54	353
bd33812e76d7b7fe63f990e4ab4ee108	353
5aa86b9263eb79473ed3ed08599fa5d7	334
5045b6eebe367188cf5eddf51b8b6eae	329
7c9db522f7f9d75f5525b4cce23e6978	311
3a81f57bfc8a0cd99a473af95f940a24	296
2bcbf26a566a0072faecb245deeaefb9	281
dbaa92b13164b277b6a032ebd135a045	278
3789510c44e113f280302a8ee9ffb3f7	261
4d3f32ca92af843a2225e3e14b88865b	247
9b39aac377fd3df650ca43da314dc934	207
a20562b4d07fdc62c2f073a8f0b27d27	200
66f90b59017fcd67e8da47036296d7a8	196
a3a9fe0c0b5ee0f11d7381607ea6b7c4	195
7b28aa05e5f8fd603707a562e9b41ea0	188
4c4c454400303310804dc2c04f394e32	185
685b4bef8f3f47f37fd77f700b15428d	179
68499385a034688af1d7d7f5a41c8edc	178
81812a7120c845d4a8985faa8f1f4535	178
430ca7b78cc0c88d4605c557a9fef63a	175
6787c5e642d5ba5b7b875f79d8af4d9d	167
612c77ac53ccc0ce08e7e30b69bb4d44	158
5a4ace60f98ada419594a2283a8b29e1	156
5f83223d3bb7474fd22e6ec440ed1099	152
359420f0d0c140e4729ef1b7917135ea	151
57014236c9dc6790afb6344646d46f10	151
59eee2ccb4561a4bc9fe2546000a012c	145
a8afbce9de00c2ed733594eca1160eac	144
5d2c8bf7856ade5235558631b3e945ee	144
661c838bf2edaa3051b9e5aa2bf120e2	143
6f84bd282bb8b1c74f4081a510c1ac18	142
503f6d5f591f926c512ad4c7e29627c5	141
6fa5c9894c2d326fe1e2783680ca73fe	133
60a1bd9c8b49ae14172bd4d7e43af5a8	131
8d8849d1bba59890afc4740965cb136f	115
506d7053b209d90486bf899e3b339df4	114
5e4a10f83c9271c4d8882844136bc1ca	110
968a58151f1149c0a2c3d0091f455fe9	109
551445e10588006ddb1eff96d5622d67	102
41a56547b6d8849656cfbad2c567fdf0	101
6e6e94434727b2033380894c756430df	88
654ab6b81015a27e2f52eaef4999a805	85
6dabe43440f2040ae0da13f4a720bce8	85
7bf3110095845a46cb4748445149cfd1	80
72fcc8b06bf86f5e509b410520724704	79
67b6e329f1a049e695a2b1a33765177b	78
5436d92f7770478eb70fe713fe17ca69	73
663a2868a3ef459ca64c5b0c8e0290db	68
5f885084f8e194dc42594f949ae7ed49	67
3d919bc5af2411e2acad8c60fb60da3a	66
2e7b668ca12b4659dd536a62ae03ba48	64
73302de4abc8ddf6858cf1b35e1f6d02	60
5a0f58ccbab94560a119d6813632b3ad	57
669464d91002d4cb4b09d4814c225c85	57
69c92e728b434375986441c02b137dce	57
50e5c568f9993234536dfbc4887a9c37	54
a9a96b9936dfb852b90fc459543b9241	49
b22ef0bec673568b0fc4a293bcc253b3	48
5df9aa25d90e448ca9a28189012b101f	47
7cb8d3bf3e8342789af87ea3a62f155f	46
e03df451fbde4acca44421b5c2eba7cf	45
fd4937d4f953ed5ccaba4a78902258c9	44
6e1f40fc709972a29af8052861d6e331	43
6cae65ee3da1c846b1f274bbccd7c305	42
5526038d9f62e0034f7e7cdbbe078bdf	40
7d84d137377a4131b0a9f825cbf8256d	40
7218bcb69e6ecb4b2a2635df71b702ec	38
553ed70dc79706cf9629f7acc2e6387e	36
7fff7702f9a890d930b463a854da089c	36
a986e6f699fe46e6b4e0003a1865feba	35
5c10c4ca9e4f6f0e815f4ef99be97ece	34
414bfa730497f31311d67c843103e2cc	33
4875f6e790563154a9f2b4b05f14b865	32
6e4405c9b01cf3ea22efbc50d48fe414	32
79e99aa8441d410986f73d278f92240c	30
6785cdacca933fe6914584b5ce0db8f8	30
9ae00e8e107f42f086f2ee7cbd3955b0	30
88db047eaf323805d3786e72aa6c0dc5	30
d3ed5f7ba60b5c851c081ce56c99eb4f	29
677c5f9e10b34eb6aac3b55758fe6de5	29
5b4dfa472745a89b8cb045dafe79e817	24
583d8a0174924737a89fe9a9f15c87d8	24
4904a1144189dfdf60f07f7362477f10	23
5584e88be2574593b10b0855fa99efe4	22
9203e483954444bcb8e670062e33f9e4	22
8d22d23a0cf511e9a6e760a44c40f953	20
69c4cb5b60f46cb63413e8f3d7193eba	20
4a84d84d543acbb3f4f036e2b50de690	20
51155e016c9d4787a5f75b9ed2a354bc	19
6e938bd548b83f12b4e834824498dbb4	19
5e11e4ccee9641138fb0814706fe1ae1	18
3544999e88594b61aa9bff73508509ad	18
2e5746a303504b0e8bb6c66517d43ebb	18
41813b0c9bb94b16a1a8d4db2f8a6ec5	18
8d47d4f5d86e2978411d9a7d01a8e386	16
7e5647df944742204a286bdde93ba469	16
6c92812b6a6ba4a5cd04382c2c63b45b	15
f9054f34fc1b4e24869b04fcbce94498	14
44fbf32ae3514bf7a9d79108bfccf6f6	14
42085bc8b02d723bd2bb86f7a8d91d46	13
711eb196db1742e9a755a447c5ace39e	13
7286861635c64dd9aa1d2ce944fdf6f4	12
6e6a20aa74b3d409b49da546ebe1f2d9	11
c0aa3271687e7727b4a7887821e9ec6f	11
